"","ALON_SP","ANUR_SP","ASCO_ECAU","ASPL_PRIO","BOSM_LORO","BOSM_LOSP","BOSM_SP1","BOSM_SP2","BRAC_ANGU","BYTH_LONG","CERI_SPP","CHYD_SPHA","COLL_SPP","CONO_COEN","CONO_UNIC","DAPH_CRIS","DAPH_CUCU","DAPH_GALE","DAPH_LORE","DAPH_LOSP","DAPH_PULE","DAPH_SP1","DAPH_SP2","DIAP_BRAC","FILI_SP1","GAST_SP1","HOLO_GIBB","KELL_BOST","KELL_LONG","KERA_COCH","KERA_HIEM","KERA_QUAD","KERA_TECT","KERA_TEST","LECA_LUNA","LECA_MIRA","LECA_SP1","LEPT_KIND","LIMN_FRON","NOTH_SP1","PLOE_HUDS","POLY_PEDI","POLY_SP1","POLY_SPP","POMP_SULC","SCAP_MUCR","SIDA_CRYS","SYNC_SPP","TRIC_CAPU","TRIC_CYLI","TRIC_PUSI","TRIC_SIMI","TRIC_SP1"
"conductivity",0.101213904592224,0.0911463712448902,0.0695341691725786,0.0323441529696456,0.0281994884851547,0.0920978299522771,0.175162708326724,0.0411394693517057,0.0292379309962066,0.0965536344142355,0.0236303073829333,0.0478185718789425,0.0684076157018567,0.0444242449791337,0.0359073107711089,0.0189572945520811,0.0402284376591365,0.0636594689589156,0.0444098210649234,0.10030847990595,0.0610400278165064,0.0697718667871483,0.0707734128022926,0.0526154671615886,0.04999938659806,0.112179353342764,0.134130072426978,0.0504788747994824,0.0143264458956608,0.0813087166770049,0.0531982756337388,0.0322783873717174,0.0706194142704206,0.0757050927833466,0.0823601855457791,0.0933144381767396,0.0811321561357527,0.0497416172046714,0.0486847078146989,0.0697087227680464,0.0768632458263457,0.0476038410723611,0.0716582008495631,0.0272348080914818,0.0290419589262001,0.0509914248942651,0.0506037638916606,0.163530909894028,0.0300744539932922,0.0578408711106464,0.0949098900885826,0.0628573963205253,0.0663629375894587
"pH",0.0628699051780166,0.0636449764484058,0.0546276159759345,0.059014002470321,0.0158529711420878,0.0219717321282844,0.0389786955189966,0.0321359104830456,0.030992658990052,0.0441851742046532,0.0288927298698768,0.0509302405929467,0.0275635864281011,0.0685882093998987,0.041898797700765,0.0204238889763582,0.0857170362712088,0.0767219615109359,0.0578728138227415,0.0870242234068307,0.0712670494736835,0.104215463481838,0.0864987339026699,0.0206362299845225,0.0432699778469591,0.029562694391714,0.0853227768740476,0.0624856225487759,0.0972434913682968,0.0301778321560365,0.0274527605347124,0.0269998674732485,0.0222201461276207,0.0385481007528072,0.0779157833496755,0.0879999118420846,0.0967161131074707,0.100153890852164,0.0379629242544834,0.0413909657247534,0.0602371247386698,0.0999616191264693,0.018039968345433,0.0691055691469751,0.0338398163827132,0.0608811025637318,0.0834312033225436,0.0547498564026003,0.0235119466654911,0.0811089040904093,0.0722323557455183,0.0620808408870502,0.0518150899424063
"water_temp",0.067326090072292,0.153380322284261,0.0435389051131189,0.0162721541009143,0.0125273011845282,0.0442664431453865,0.145274659076583,0.0340233513564163,0.215859657734556,0.0658297451541554,0.0407168649781637,0.101436143739084,0.0266479919334771,0.0195840640694448,0.0398601383786026,0.0140013025653811,0.0689191216437929,0.0477626053434512,0.0895433871258996,0.066341180827396,0.0362497820053727,0.0512860371530439,0.0469039207265722,0.0692007804196653,0.285276994668534,0.0213141977682211,0.0538883280764966,0.0939435409485205,0.0234620551528122,0.0251352742730364,0.337740790349045,0.297798162622712,0.0771719089139621,0.206321087622883,0.093921952759289,0.0826338818493577,0.0603175133833911,0.0455522469910569,0.0457875788848619,0.261772696740768,0.0963899373874445,0.0298775284996066,0.0509116886691582,0.142618230362167,0.243174293921574,0.0345924213314515,0.0354590140600848,0.0393279673351243,0.013889475506815,0.105724198633034,0.0730824346193505,0.0531978773694085,0.12578086988221
"water_depth",0.044972878580453,0.03003362135767,0.0558345904881701,0.0562116603045741,0.0114828807473515,0.0193063057152943,0.0198998748411912,0.0212222491656446,0.0183722038131496,0.109629701375682,0.0225961349686008,0.0323316328351597,0.154364675077778,0.158275889259063,0.300878501691438,0.0263118584925261,0.0174529089960627,0.0205691139917493,0.023402941082631,0.0300369939539935,0.0186238795195957,0.0389519277482417,0.0341616270282073,0.0235188667689607,0.0249300247712997,0.0228255654667317,0.0335819185861403,0.0208084532342072,0.0235599755617651,0.0248565157110739,0.0178651448276877,0.018515285136108,0.0172022754535665,0.0190099557964031,0.0552103046532904,0.065758850391503,0.0606268210386537,0.0936880562563633,0.019383229527576,0.0305077156398855,0.0346532256724056,0.262202219217836,0.019651424892971,0.0307897360352062,0.0195056797559307,0.172577930954852,0.160964180690707,0.0308130704503285,0.0487950195934093,0.0413703103186892,0.0703196329013465,0.048659783119856,0.0499870875740874
"colour",0.0581633756336698,0.0431665439654643,0.0546475108069684,0.0522100770416221,0.0158376155525949,0.0320429231480563,0.0857461273258224,0.0464542118152304,0.0551161443951353,0.069983735447492,0.0163278869891133,0.0429728667003754,0.0290110146362519,0.0287548438961715,0.127202433964198,0.0150229573532444,0.109051595632593,0.0996499955697074,0.0430329169435435,0.0328929031190251,0.0394304054942108,0.0383619080754962,0.0431457578008951,0.0224393822018439,0.0534161550403072,0.0938069703632716,0.0377096931144234,0.0470866736918137,0.0427742948002692,0.0432882426391191,0.029080072295433,0.0223457158117916,0.0298689612500518,0.0447908057822935,0.0838427674548573,0.0787972361901616,0.0754495595141792,0.0340695498338617,0.0402667227350608,0.0488721925650228,0.0402580982898608,0.16304206588213,0.0171170559031256,0.0328443181726354,0.0402199947587688,0.0595234527700136,0.0396997416322722,0.0795152130035853,0.0286403103491064,0.0567400615006603,0.082891195802994,0.0831715867038864,0.170920201221591
"chla",0.0807542446935818,0.0987111841903502,0.328154327886583,0.31165476850191,0.130109481873696,0.08828555911267,0.102326942639589,0.0619129598550424,0.0407436975146751,0.0734598857925471,0.0363478637568964,0.0785334210339327,0.155698458246211,0.218652365150642,0.109233872121017,0.0212639568228321,0.0443326732312065,0.0591028688371343,0.0516680678702945,0.0495324931223777,0.032475145215793,0.0599777951217229,0.0470348687514871,0.0208176093997112,0.0485405691136005,0.261173960827241,0.252271353212087,0.0977083610058878,0.0855312179513724,0.0672321905055536,0.0463412271835983,0.0385627765055342,0.111920514389701,0.138608064447442,0.119989999976053,0.0782391376218666,0.101964387199581,0.0654737122426839,0.0719457900905612,0.0451414008591822,0.20107392263267,0.0436853004658492,0.166324813055925,0.024207980715736,0.041331884666071,0.0554586684719131,0.0343394029467272,0.224480964986454,0.0707119929932071,0.06055433139406,0.112649370963431,0.073806925148963,0.110335898060423
"lake_area",0.0406471134552504,0.0402201322013533,0.0353243926896342,0.0968707792489927,0.0112793825344634,0.0157530919488999,0.0575009516895294,0.0510447319968934,0.208497438467034,0.0445188267075503,0.0115422923683462,0.060878695743092,0.0164189388047593,0.0458363819839313,0.0196596457382097,0.0507689176572103,0.148235725302349,0.136678314398259,0.104967127793849,0.0290670589861382,0.0413902233560111,0.0344180099976158,0.0392541801558751,0.0312689970693526,0.068456814709331,0.0136355438820521,0.082131835048856,0.0304265120199852,0.0272945021187682,0.0288072083451895,0.0601025233164399,0.0465728103999638,0.0162782641148147,0.0240815811887178,0.0489113725832673,0.056840471483081,0.056895666099908,0.0381223697854718,0.0388089557299914,0.0393608827322089,0.0374685552199003,0.0583201496460539,0.0409675859492444,0.0148768198035723,0.134893395337461,0.0666612957989519,0.03218843009039,0.0444667489215524,0.0326877183747857,0.0615797076797558,0.0611707498670506,0.0532341912233199,0.0477788074896453
"Tavg",0.298453721325295,0.205598353018604,0.0936164249003145,0.254761318137016,0.396041778870487,0.0917539071090617,0.0925394844877368,0.273540646846615,0.185644415807481,0.067263670536692,0.581127556377503,0.357606539261109,0.420822784954136,0.27761040286624,0.218678125053212,0.243618784220642,0.246681079324915,0.117594376556452,0.321238693531689,0.345552314153204,0.30338719214709,0.315964641752871,0.325209919612045,0.245530106019816,0.112195671584688,0.126413441589054,0.0902947629715571,0.391400391579565,0.216516698238804,0.504674722354012,0.199819346237974,0.304265391679823,0.138402161851742,0.228859727159361,0.209230423695004,0.14029448125399,0.153133101524478,0.0974666613246231,0.337878150720993,0.134108954927454,0.0834157677524516,0.0691788554973954,0.349530874770014,0.275472339450835,0.250056296980916,0.282965367985917,0.357910655776972,0.0816100473341898,0.109185948543381,0.154931705145956,0.140461731623441,0.112986290139506,0.105366431812837
"precip",0.0763820851247073,0.142747195387441,0.175904955445975,0.0418562606922467,0.256750736159473,0.471776699906404,0.174275901907227,0.277314080451905,0.0652072588809145,0.10125263455885,0.170747813506739,0.0833763447301667,0.0415610043980591,0.0826116742668774,0.0465380026728322,0.167757222440454,0.120012414529042,0.267274509391534,0.102687782452013,0.0624226075083147,0.132872021214401,0.111166484158228,0.0904787439313336,0.429435509236008,0.125454718890906,0.167217861161516,0.122380148108585,0.0664762389028619,0.238715975480506,0.0634941978635548,0.0512366353565959,0.0378610086195985,0.110002724202975,0.0892248404523137,0.0833009640969363,0.119690596845834,0.149343952330527,0.0757312861818053,0.18250140753887,0.113233173142681,0.233048017790812,0.0662383544184651,0.136675695791219,0.25714971142271,0.0646498201843718,0.139297478835646,0.044346630424863,0.0938526196366081,0.0400524780988371,0.142043625198599,0.116131989679988,0.12158561277387,0.0537729685032809
"human",0.0803044863341385,0.0652429145400695,0.0429340310281284,0.0461526139077109,0.0355397247779656,0.0130624471240291,0.0297057215827774,0.0278711376897416,0.0232764249868037,0.271932056849172,0.0241766120951063,0.0467616637282301,0.0194649208924291,0.0209994067317129,0.0270691285640684,0.0211257590324049,0.0600861547082236,0.0687297060529879,0.0873352804527946,0.11675768537032,0.0535658447882517,0.126176991778125,0.153138457799595,0.0177597683904871,0.0877135942917053,0.0187855011365313,0.0784783513693267,0.0560803660454351,0.0212443006135813,0.0249671591517813,0.0538422399882626,0.0637236721837523,0.0173612592464231,0.0474005985686978,0.0591920898495718,0.125912641105021,0.0794622714753596,0.375453117204001,0.0364786657439349,0.0827601193627016,0.0896723955411236,0.120874003652711,0.020769048154107,0.0252466595560315,0.0266129993339808,0.0384505842112889,0.13345354467811,0.0458678993991378,0.0326009292506027,0.0774138935965845,0.0726940068479933,0.0812405111911189,0.0707200091295422
"forest",0.0816125725383602,0.0538041664414641,0.0277751935807091,0.0199941062171429,0.0137170956707605,0.0341126117245694,0.0680380107649628,0.0482628172899637,0.120537359197864,0.0472043538017659,0.0317792291114527,0.0919091962380259,0.0174071250851245,0.0262571082320987,0.0251147424011473,0.0152480823410799,0.0462383386259771,0.0330187418908167,0.0493204448397709,0.0616802203767782,0.0203067516849373,0.0335227910390801,0.0370132346182246,0.0273596408218632,0.0817009662034013,0.0323258195491736,0.0216668415181088,0.0707051078512796,0.034083349900509,0.020693780349403,0.101602831581766,0.0991097951114658,0.0520886123393807,0.0806449251258849,0.0531843474496981,0.0524597390934459,0.0657628060211258,0.0217255176996595,0.0542263268120183,0.115997163363266,0.0337196931726755,0.0290510554605708,0.0193437362294098,0.0210706168720413,0.106513392032417,0.0271453339793075,0.0199577966473758,0.115099631384842,0.0139513784943888,0.140397109643612,0.0846827647471446,0.218949076015693,0.112928166872425
"Random: Index_random_geo",0.00729962247201124,0.012304218920025,0.0181078829118851,0.0126581064079006,0.0726615430014375,0.075570448985066,0.0105509218388614,0.0850784336977945,0.00651480921612813,0.0081865811572022,0.0121147085952702,0.00544468351893462,0.0226318838418155,0.00840540916478658,0.00795930094339939,0.385499975545786,0.0130445140754934,0.00923833749805607,0.0245207230198492,0.0183838392696717,0.189391677284147,0.016186082906588,0.0263871428708024,0.0394176425261797,0.019045126281209,0.100759090521729,0.00814391869339195,0.0123998573721859,0.175247692917655,0.0853641599742345,0.0217181526947477,0.0119671270842845,0.33686375783934,0.00680522031984903,0.0329398085865791,0.0180586141469148,0.0191956521695727,0.00282197442363838,0.0860755401469515,0.0171460121740324,0.0132000159756411,0.00996500706055241,0.0890099073898301,0.0793832103706092,0.0101604677195952,0.0114549382026592,0.00764563583829627,0.0266850712515476,0.555898348136684,0.0202952816879954,0.0187738771131592,0.0282299091068031,0.0342315319220964
